words,definition
Impressions,"<p>Trong quảng cáo Google Adwords, Impression là thuật ngữ để chỉ số lần hiển thị quảng cáo của bạn trên mạng tìm kiếm Google. Impression là tổng số lần quảng cáo của bạn tiếp cận được đến người dùng.</p>"
international roaming,"<p>Là dịch vụ gọi điện thoại chuyển vùng quốc tế, một dịch vụ có thể được sử dụng khi bạn muốn sử dụng điện thoại di động Việt Nam tại nước ngoài</p>"
Information Security Audit,"<p>Là một cuộc đánh giá về mức độ an toàn thông tin trong một tổ chức, thường được kiểm tra từ góc độ của bên thứ ba.</p>"
IT,<span> Kiểm thử tích hợp</span>
IT,<span> Công nghệ thông tin</span>
hacking,"<p>Là những gì tin tặc làm. Hacking mang hàm nghĩa chỉ hành động lợi dụng các lỗ hổng bảo mật của hệ thống mạng Internet, phần cứng hay phần mềm máy tính của một cá nhân hoặc doanh nghiệp / tổ chức, nhằm mục đích xâm nhập và tác động một cách bất hợp pháp phục vụ lợi ích cá nhân.</p>"
Golang,<p>Là một ngôn ngữ lập trình máy tính mã nguồn mở</p>
Google Cloud Platform,"<p>Là một nền tảng điện toán đám mây do Google vận hành, được giới thiệu vào tháng 4 năm 2008. Khách hàng có thể chạy phần mềm kinh doanh của họ trên cơ sở hạ tầng mạng và trung tâm dữ liệu toàn cầu khổng lồ của Google.</p>"
Gbps,"<p>Là đơn vị đo tốc độ truyền dẫn dữ liệu trên internet, cụ thể là tốc độ download, upload trên máy tính hoặc điện thoại. 1 Gbps (gigabits trên giây) tương đương với 1.000 Mbps (megabits trên giây).</p>"
Gzip,"<p>Khi đề cập đến HTTP và mã hóa nội dung, HTTP / 1.1 đã giới thiệu gzip như một cách để máy chủ web nén nội dung/dữ liệu trước khi gửi cho khách truy cập (client). Sử dụng gzip, trang (page) tải nhanh hơn vì kích thước nhỏ hơn và cũng có thể giảm chi phí băng thông (bandwidth) tổng thể. </p>"
GIF,"<p>Viết tắt của Graphics Interchange Format, là một phần mở rộng tập tin, một định dạng tập tin hình ảnh bitmap và một định dạng nén không làm giảm chất lượng hình ảnh cho các tệp hình ảnh, và nó có thể tạo ra các ảnh động</p>"
FLOPS,"<p>Viết tắt của floating-point operations per second, là một phép đo được sử dụng để chỉ ra một bộ vi xử (microprocessor) lý có khả năng thực hiện bao nhiêu phép toán dấu chấm động mỗi giây. Ví dụ: 20 Mflops tương đương với 20 triệu FLOPS mỗi giây. Thuật ngữ teraflop (hoặc tflop) mô tả một nghìn tỷ (1012) phép toán dấu phẩy động mỗi giây. Một petaflop là một phần tư triệu (1015) FLOPS.</p>"
file system,"<span> Hệ thống tập tin, hệ thống quản lý tập tin</span>"
font awesome,<p>Là thư viện chứa các font icon được sử dụng trong website</p>
DevOps culture,<span> Văn hóa DevOps</span>
DevOps tool,"<p>DevOps Tool là một công cụ (tool) tự động hóa giúp ứng dụng quá trình phát triển phần mềm. Công cụ DevOps cũng cho phép các nhóm (team) tự động hóa hầu hết các quy trình phát triển phần mềm như build, quản lý xung đột, quản lý phụ thuộc (dependency), triển khai (deployment), v.v. Ví dụ các DevOps tool như Git, Jenkins, Kubernetes, Docker,... </p>"
game tree,<span> Cây trò chơi</span>
test report,"<p>Là một tài liệu (document ) chứa tóm tắt tất cả các hoạt động thử nghiệm và kết quả thử nghiệm cuối cùng của một dự án thử nghiệm. Test report là một đánh giá về mức độ thực hiện của thử nghiệm. Dựa trên test report, các bên liên quan có thể đánh giá chất lượng của sản phẩm được thử nghiệm và đưa ra quyết định về việc phát hành phần mềm</p>"
test case,"<p>Một tập hợp dữ liệu thử nghiệm và chương trình thử nghiệm (tập lệnh thử nghiệm) và kết quả mong đợi của chúng. Một test case xác nhận một ứng dụng, hệ thống phần mềm hay một chức năng ứng dụng có hoạt động đúng hay không.</p>"
Automation Test,<span> Kiểm thử tự động</span>
software development process,<span> Quy trình phát triển phần mềm</span>
QA,"<p>Viết tắt của quality assurance, là công việc mà nhân viên kiểm tra một sản phẩm phần cứng hoặc phần mềm và đảm bảo rằng không có vấn đề nào tồn tại trước khi nó được phát hành. Nếu các vấn đề tồn tại, chúng sẽ được báo cáo và khắc phục trước khi sản phẩm được phát hành.</p>"
Tester,"<p>Tester là người kiểm thử phần mềm để tìm kiếm các lỗi, sai sót, hay bất cứ vấn đề nào mà có thể ảnh hưởng đến chất lượng phần mềm.</p>"
microservices,"<p>Một phần mềm lớn được chia tách làm rất nhiều service nhỏ, các service này liên kết với nhau tạo thành một sản phẩm hoàn chỉnh. Nền tảng của microservices là một API cho phép mỗi service  giao tiếp với một service  khác. Ưu điểm của kiến trúc microservice là mỗi service có thể được cập nhật độc lập với các bản vá (patch) và cải tiến mà không ảnh hưởng đến toàn bộ hệ thống. Ví dụ một trang web thương mại điện tử là một sản phẩm hoàn chỉnh nhưng trên thực tế, trang web này được bao gồm nhiều tính năng (feature) như đăng kí (register), đăng nhập (login), tìm kiếm.v.v… Mỗi tính năng này là một service riêng có thể sử dụng ngôn ngữ lập trình và cơ sở dữ liệu (database) riêng.</p>"
waterfall model,<span> Mô hình thác nước</span>
software development,<span> Phát triển phần mềm</span>
Software Development Life Cycle,<span> Chu trình phát triển phần mềm</span>
centi,"<p>Đó là một đơn vị Nó đại diện cho ""một phần trăm (10 ^ -2)"", sử dụng ""c"" làm ký hiệu. Bằng 1/100. Hoặc 0,01 gọi là ""centi"". Ví dụ: 1 cm</p>"
CakePHP,<p>Là một Framework sử dụng khi tạo một chương trình với ngôn ngữ lập trình PHP và được xây dựng theo mô hình MVC. CakePHP cung cấp cho bạn tất cả các công cụ cần để có thể phát triển nhanh một website.</p>
C#,"<p>Là một ngôn ngữ lập trình, được tạo ra bởi Microsoft vào năm 2000. C# là ngôn ngữ lập trình hiện đại, hướng đối tượng (OOP) và được xây dựng trên nền tảng của hai ngôn ngữ mạnh nhất là C++ và Java.</p>"
CPC,"<p>Viết tắt của Cost per Click, là một chỉ số trong marketing (quảng cáo web) và một khoản phí được tính mỗi lần quảng cáo được click chuột. Giá được tính với ""CPC trung bình x số lần nhấp"", vì thế chi phí quảng cáo sẽ thay đổi tùy thuộc vào số lần nhấp.</p>"
CPM,"<p>Viết tắt của Cost Per Mille, là một chỉ số trong marketing (quảng cáo web). Là một khoản phí được tính khi quảng cáo được hiển thị 1.000 lần. CPM = (Số tiền đã chi tiêu / số lần hiển thị) x 1.000. Ví dụ: Nếu bạn chi tiêu $50 và nhận được 10.000 lần hiển thị thì CPM của bạn là $5.</p>"
conversion rate,<span> Tỷ lệ chuyển đổi</span>
atto,"<p>Là một đơn vị đại diện cho 10-18. Nó là 1 / 1.000.000.000.000.000.000.000. Hoặc 0,000000000000000001. Sử dụng ""a"" làm ký hiệu. Ví dụ. 1 ag = 1 attogam = 10-18 g.</p>"
Photoshop,<p>Là phần mềm thiết kế đồ họa chuyên nghiệp</p>
AWS,"<p>Viết tắt của Amazon Web Services, là một dịch vụ cloud của Amazon và có số lượng người sử dụng nhiều nhất, cung cấp trên 165 dịch vụ đầy đủ tính năng từ các trung tâm dữ liệu trên toàn thế giới.</p>"
download,<span> Tải xuống</span>
DRAM,<span> RAM động</span>
data center,<span> Trung tâm dữ liệu</span>
DaaS,<span> Dữ liệu dưới dạng dịch vụ</span>
DaaS,<span> Máy tính để bàn dưới dạng dịch vụ</span>
DevOps,<p>Là một văn hóa làm việc đề cao sự hợp tác giữa hai nhóm phát triển (development) và vận hành (operations) xích lại gần nhau hơn.</p>
design pattern,"<p>Là các mẫu thiết kế đã được tối ưu hóa, được tái sử dụng cho các vấn đề phổ biến trong thiết kế phần mềm. Là tập các giải pháp đã được giải quyết và kiểm chứng trong tình huống cụ thể.</p>"
csv file,"<p>Là tập tin văn bản, các mục được phân tách bằng dấu phẩy, bạn nên mở nó bằng Excel. CSV thường xuyên được sử dụng để lưu các bảng tính (dữ liệu) quy mô vừa và nhỏ. File CSV có đuôi dạng: *.csv</p>"
CPU Cooler,"<p>Là một thiết bị làm mát CPU, làm giảm nhiệt độ sinh ra trong quá trình làm việc của các thiết bị trong máy tính.</p>"
chatbot,<p>Chatbot l là một chương trình phần mềm được thiết kế để mô phỏng cuộc trò chuyện của một người thực.</p>
chipset,<p>Là một trong những thành phần được gắn vào bo mạch chủ và nó là cầu nối giữa CPU và các thiết bị ngoại vi</p>
bing,<p>Là công cụ tìm kiếm giống Google.com được cung cấp bởi Microsoft.</p>
breadcrumb,<span> Đường link phân cấp</span>
brute force attack,"<p>Là kiểu tấn công bằng cách tiếp cận và sẽ thử tất cả các trường hợp có thể. Do phương pháp này mất nhiều thời gian, Brute force thường chỉ được dùng khi các phương pháp khác không có hiệu quả.</p>"
banner,<span> Biểu ngữ</span>
Affiliate Marketing,<span> Tiếp thị liên kết</span>
log file,<span> File nhật ký</span>
access log,<span> Nhật ký truy cập</span>
log,"<p>Log ghi lại liên tục các hoạt động của cả hệ thống hoặc của các dịch vụ được triển khai trên hệ thống vào file tương ứng. Log file thường là các file văn bản thông thường dưới dạng “clear text” tức là bạn có thể dễ dàng đọc được nó, vì thế có thể sử dụng các trình soạn thảo văn bản (vi, vim, nano…) hoặc các trình xem văn bản thông thường (cat, tailf, head…) là có thể xem được file log.</p>"
memory cache,"<p>Khi một ứng dụng đang chạy, nó có thể cache một số dữ liệu nhất định trong bộ nhớ hệ thống hoặc RAM. Ví dụ: nếu bạn đang thực hiện một dự án video, trình chỉnh sửa video có thể tải các đoạn video và đoạn âm thanh cụ thể từ ổ cứng vào RAM. Vì RAM có thể được truy cập nhanh hơn nhiều so với ổ cứng, điều này giúp giảm độ trễ khi nhập và chỉnh file.</p>"
cache,<span> Bộ nhớ đệm</span>
disk caching,"<p>Hầu hết các ổ cứng HDD và SSD đều có một lượng RAM nhỏ dùng làm disk cache. Disk cache điển hình cho ổ cứng 1 terabyte là 32 megabyte, trong khi ổ cứng 2 TB có thể có  64 MB. Lượng RAM nhỏ này có thể tạo ra sự khác biệt lớn về hiệu suất của ổ đĩa. Ví dụ: khi bạn mở một thư mục với một số lượng lớn file, các tham chiếu đến file có thể được tự động lưu trong disk cache. Lần tiếp theo khi bạn mở thư mục, danh sách các file có thể tải ngay lập tức thay vì mất vài giây để xuất hiện.</p>"
external hard drive,"<span> Ổ cứng di động, ổ cứng ngoài</span>"
